feature,VIF
team_hp_advantage,inf
p1_pokemon_left,inf
team_hp_sum_advantage,inf
p1_team_sum_hp,inf
p2_team_avg_hp,inf
p1_team_avg_hp,inf
ko_advantage,inf
p2_pokemon_left,inf
p2_team_sum_hp,inf
p2_ko_count,inf
p1_ko_count,inf
defense_boost_advantage,19.39187536136608
offense_boost_advantage,19.271023704548725
p1_off_vs_p2_def_ratio,9.07890085110988
p2_lead_base_atk,7.249408897160125
lead_spe_advantage,5.154060204624849
p2_lead_base_spd,5.127933678165261
lead_spe_diff,3.5716387471269373
first_move_advantage,2.7517490937098334
p2_lead_base_hp,2.538664434713763
p1_team_mean_def,2.4089945755252273
p1_team_mean_hp,2.3515086827689573
p2_critical_status_turns,1.7967469786908543
p1_critical_status_turns,1.7665700405643632
p1_team_mean_spd,1.7208112367627222
p1_major_status_turns,1.4267056298736678
p2_major_status_turns,1.3886707508196738
p2_hits_p1_not_effective,1.3758773412655245
dynamic_first_move_ratio,1.3300439607953216
p1_stab_count,1.2657494680457286
p2_hits_p1_super_effective,1.1143312918465413
speed_boost_advantage,1.0691879335386978
p2_lead_level,1.0027731858594715
type_matchup_diff,
speed_x_type_adv,
