feature,VIF
p2_team_avg_hp,inf
p1_team_avg_hp,inf
team_hp_advantage,inf
hp_total_loss_advantage,12.654520000269203
team_hp_sum_advantage,9.34147142708144
damage_pressure_advantage,8.666540468946659
lead_diff_defense,7.755733176402584
lead_diff_offense,7.4470637068125045
hp_trend_slope,5.937877547984424
hp_momentum_advantage,5.530521276667398
healthy_pokemon_advantage,4.587130210552834
ko_advantage,3.7526987033159016
defensive_core_adv,3.295125347387236
p1_team_mean_hp,3.232854255638844
p2_critical_status_turns,2.1588737517889087
p1_critical_status_turns,2.053577176758583
switch_advantage,1.5802400011108262
p1_major_status_turns,1.3615866771753664
p2_major_status_turns,1.3601302619513564
p1_critical_status_success_rate,1.3360844509026415
p2_critical_status_success_rate,1.322430096335579
recovery_turn_adv,1.3056046757064128
lead_diff_spe,1.2048610838985747
p1_stab_count,1.194349504620312
expected_damage_ratio_turn_1,1.134990552774757
trap_turn_advantage,1.1319520888252614
p2_hits_p1_super_effective,1.1314305910379934
p2_hits_p1_not_effective,1.1149353900302659
tauros_adv,1.037926895257489
trade_success_adv,1.0327456098848116
