feature,VIF
p2_lead_defense,inf
p2_lead_base_def,inf
p2_lead_base_spa,inf
team_hp_advantage,117805938.43552324
p1_ko_count,86562417.99111661
ko_advantage,1268935.4376125294
lead_spe_advantage,402617.58572749543
p2_team_sum_hp,234164.24313507878
p1_team_avg_hp,63856.66996052967
p2_team_avg_hp,62897.24047900427
p2_ko_count,42132.67986542441
p1_team_mean_atk,38024.26432518945
team_hp_sum_advantage,19034.067230172746
p1_team_sum_hp,14928.516795479802
p1_team_mean_spe,3321.411088831131
p2_lead_base_spe,750.5955928774636
p2_lead_type_ghost,395.9572376387687
p1_team_mean_spa,366.0955229641555
p2_lead_type_notype,249.4819221527835
p2_lead_type_psychic,181.3907825367581
p2_lead_base_hp,138.93753384565645
p1_mean_offense,128.6991559479604
p2_lead_type_ice,60.22029901735399
p2_lead_type_grass,56.95685561937384
p2_lead_type_water,44.176119611149154
p2_lead_type_normal,32.633771888291946
p2_lead_type_flying,26.775512428991213
p2_lead_base_atk,24.88001621644439
p2_lead_type_electric,6.87919057315122
p1_team_mean_hp,4.8373917076436825
p1_team_mean_def,3.421909158699103
p2_critical_status_turns,1.7853313542467752
p1_critical_status_turns,1.762557721185164
p1_major_status_turns,1.4339770861091161
p2_major_status_turns,1.3683879857017827
p2_hits_p1_not_effective,1.2943353555650363
p1_stab_count,1.2620938457616844
p2_hits_p1_super_effective,1.1144109188346287
p2_lead_level,0.8871210762317926
