feature,VIF
p1_team_avg_hp,inf
p2_team_avg_hp,inf
p1_team_sum_hp,inf
p2_team_sum_hp,inf
team_hp_advantage,inf
team_hp_sum_advantage,inf
hp_total_loss_advantage,13.192715976380782
damage_pressure_advantage,8.795568944689435
lead_diff_defense,7.755812832652066
lead_diff_offense,7.4470653917256495
healthy_pokemon_advantage,7.233769993266834
hp_trend_slope,5.9389304406909655
hp_momentum_advantage,5.5305359857595775
ko_advantage,3.8134187414880447
defensive_core_adv,3.296678032689095
p1_team_mean_hp,3.234872455364707
p2_critical_status_turns,2.162573401850666
p1_critical_status_turns,2.07226046093421
switch_advantage,1.5824884504313692
p1_major_status_turns,1.3748389471375766
p2_major_status_turns,1.363679090491048
p1_critical_status_success_rate,1.3369506317713187
p2_critical_status_success_rate,1.3256932772180459
recovery_turn_adv,1.307466825245087
lead_diff_spe,1.2053950531034625
p1_stab_count,1.1949406906710482
trap_turn_advantage,1.1385383493166343
expected_damage_ratio_turn_1,1.13503067649323
p2_hits_p1_super_effective,1.1316324382872969
p2_hits_p1_not_effective,1.1149583965696372
tauros_adv,1.0415248488334703
trade_success_adv,1.0327458020774067
